Name ID,Description,Category Name,Combos
1A-Dogs,Sound associated with dogs short Barks wimpers both from large and small dogs.,Dogs,"Menagerie,Jurrasic Bark,1A-Dogs,Pause and Effect"
4A-Cats,"Sounds associated with cats and kittens. meow, purring sounds the cat sounds as well as aggressive and angry cat sounds",Cats,"Menagerie,Meow-verick Pilots,4A-Cats,Cat Burglar,Sax and the kitty,Hello Kitty,Cat's Meow,Hocus Pucus"
5A-Farts,Human fart sounds of various lengths dietary health scenarios and musical quality,Farts,"Silent But Deadly,Manners Please,Moothane Madness,Fart Nado,Fart Bat,Laughing Gas,Toilet Humour,Gutbusters,Fast and Flatulant"
6A-Toy,Sounds associated with common children's toys like rattles squeaky toys things that make short cute little noises a little bells and stuff like that,Toy,"Mordor Playtime,Potty Humour,6A-Toy"
7A-Bell,All kinds of bell sounds from a hotel lobby desk bell to a large bell in a church. Clanging and dong.,Bell,"Bell Hop,Jungle Bells,7A-Bell"
8A-Bounce,Comical sounds for the represent bouncing noises like springy noises or take a ruler and put it off the edge for desk and flick it,Bounce,"Bell Hop,""Shake, Rattle, and Oink"",8A-Bounce,Looney Tunes"
9A-Smash,breaking glass sounds - Short and sharp ones ,Smash,"Smash Hits,""Quack, Crack, and Attack"",9A-Smash,Blue Scream of Death"
10A-Posh British Male,Of a very short phrases of a British posh person male saying stereotypical phrases,Posh British Male,"Pig Latin,Pirates of the High C's,10A-Posh British Male"
11A-Burps,A human gutterol burping sounds of all lengths and octave ranges,Burps,"Manners Please,Cartoon Burps,Burpocalypse Now,Burp and Slide,""The Good, the bad and the burpy"",11A-Burps,Gutbusters,Bebop Burps"
12A-Cartoon Voices,A sound series of short sounds that you might expect the cartoon characters the Animaniacs say the sounds are not really recognizable as language,Cartoon Voices,"Sneezy Toons,Giggle Factory,Cartoon Burps,12A-Cartoon Voices"
13A-Poultry,Sounds related to different domestic barnyard flying or feathered creatures such as chickens roosters ducks geese and the like,Poultry,"Menagerie,""Quack, Crack, and Attack"",Fowl Play,13A-Poultry,Poultry Geist,Chicken Run"
14A-Ninja,Sounds related to what the martial arts expert might say during a fight so sounds like kapow or Haya that is to say onamatapeic words,Ninja,"Silent But Deadly,Brass Knuckles,14A-Ninja"
15A-Cowboys,Stereotypical short phrases that a cowboy would say,Cowboys,"Horny Cowboys,""The Good, the bad and the burpy"",15A-Cowboys"
16A-Cows,Sounds made by cows,Cows,"Menagerie,Moothane Madness,Cowabunga,Yodel-ay-hee-moo,16A-Cows"
17A-Explosions,Short explosion sounds,Explosions,"Ta Da Boom,Potty Humour,17A-Explosions,Pause and Effect,Angry Birds"
18A-Goat Horse Sheep,Sound made by goats horses sheep and other four-legged not including cows barnyard animals,Goat Horse Sheep,"Menagerie,Barnyard Beats,Sheep Thrills,18A-Goat Horse Sheep"
19A-Jungle,Animals sound that one might expect to hear in the jungle,Jungle,"Cockney Congo,Jungle Drums,Jungle Bells,19A-Jungle"
20A-Female Laugh,Human female laughing sounds,Female Laugh,"Laughing Gas,Pirates of the High C's,20A-Female Laugh"
21A-Common Cold,Sounds a human would make when suffering from a cold for example coughing sneezing,Common Cold,"Sneezy Toons,Sick and Sassy,21A-Common Cold"
22A-Cockney,Stereotypical phrases that a Cockney from London like say,Cockney,"Cockney Congo,Pig Latin,22A-Cockney"
23A-Sexy Female,Comical sounds associated with female pleasure;-),Sexy Female,"Brains and Beauty,Beauty and the Beast,Sheep Thrills,23A-Sexy Female,Fifty Shades of Ouch"
24A-Sexy Male,Sounds that Barry  White might say i.e sultry sexy short phrases,Sexy Male,"Sacred Seductions,Yodel-la-ee-hello,24A-Sexy Male,Fifty Shades of Ouch,Velvet Voice Vibes"
25A-Holy Proclamations,Funny short phrases that a priest Might Say,Holy Proclamations,"Sacred Seductions,Rapture,25A-Holy Proclamations,""Eat, Pray, Love"""
26A-The Horn,Different types of horn sounds everything from a toy horn to a bicycle horn to a foggerhorn on an ocean liner,The Horn,"Horny Cowboys,8 bit fly boys,26A-The Horn,Fast and Flatulant"
27A-Yodel,Stereotypical Swiss yodeling sounds,Yodel,"Yaar Haar Yodel,Yodel-la-ee-hello,Yodel-ay-hee-moo,27A-Yodel"
28A-Crowd,Sounds from the crowd gasps  exclamations and applause,Crowd,"Crowd Control,Jersey Chainsaw Massacre,28A-Crowd"
29A-Slide Whistle,Series of comical slide whistle sounds in ascending and descending,Slide Whistle,"Whistle While you Sing,Burp and Slide,29A-Slide Whistle,Looney Tunes,That's Show Business"
30A-Trumpets,Sound of the little trumpet rifs and sounds,Trumpets,"Snore & Horn,Brass Knuckles,Smash Hits,30A-Trumpets"
31A-Trains,Different sounds associated with trains from horns to whistles to choo choo sounds,Trains,"Love Locomotion,Loco mortis,31A-Trains,Toilet Train"
32A-Caveman,Various grunts that a cavemen might make,Caveman,"Bronze Age,Potty Humour,32A-Caveman"
33A-Guitar,Short electric guitar sounds,Guitar,"Smash Hits,Thunder Struck,Jurrasic Jam,Sweet Chile O Mine,33A-Guitar"
34A-Guns,Sounds associated with guns things like blasts and ricochets,Guns,"Ape-pocalypse now,""Quack, Crack, and Attack"",Fowl Play,34A-Guns"
35A-Laser Blasts,Futuristic laser blast sounds,Laser Blasts,"Snore Wars,Crowd Control,35A-Laser Blasts,Angry Birds"
